title,type,text
,,
"Tripura’s win is people’s answer to fear, lies, confusion spread against BJP: Modi",deccan," Saturday, Mar 03, 2018 | Last Update : 11:18 PM IST Prime Minister Narendra Modi on Saturday called the BJP's impressive performance in Tripura Assembly polls people's answer to ""fear, lies and confusion"" being spread against his government, and targeted the Congress, saying it was never so diminished as a party as it is now. Addressing party workers at the BJP's newly constructed headquarters following the announcement of results of polls in Tripura, Nagaland and Meghalaya, the Prime Minister also took an apparent dig at Congress president Rahul Gandhi, saying some people grow in designation but shrink in stature. In contrast, he said, BJP chief Amit Shah rose by leading the party to victories in many states.  In remarks laced with sarcasm, Narendra Modi said he had recently told Puducherry Chief Minister V Narayanasamy that the Congress leader was lucky as he will soon become a ""specimen of a Congress chief minister"" as his party will be in power only in his state by June after losing Karnataka, which goes to the polls in April-May. Referring to Punjab Chief Minister Amarinder Singh, who heads the Congress government in the state, he said neither he nor they (Congress) consider each other their own. ""He is a 'swatantra fauji' (independent soldier),"" Narendra Modi said of Amarinder Singh. The Prime Minister said people of northeast had a sense of alienation but his government worked overtime to remove it. Central ministers have spent more nights in one of these states to deal with their problems in the last four years than they did all the years earlier, he said. ""Fear, lies and confusion were being spread,"" he said, an apparent reference to the opposition's criticism of his government over a host of issues, and now people have answered it through their votes. Prime Minister Narendra Modi took a brief pause when there was a call for prayers from a nearby mosque, and also paid respects along with the audience to deceased party workers, allegedly victims of political violence, by keeping silence for a while. He was felicitated by senior party functionaries, including members of the BJP parliamentary board, headed by Amit Shah."
,,
"Manik Sarkar can take shelter in WB, Kerala or B'desh: BJP's Himanta Biswa",deccan," Saturday, Mar 03, 2018 | Last Update : 11:18 PM IST Outgoing Tripura chief minister Manik Sarkar can take shelter in West Bengal, Kerala or neighbouring Bangladesh as the BJP is going to form the next government in the state, Assam minister Himanta Biswa Sarma said on Saturday. “Manik Sarkar has just three options before him. He can go to West Bengal, where the CPI-M still has some presence. He can go to Kerala, where the party is in power and will rule for three more years or he can go to neighbouring Bangladesh,” Sarma told reporters in Agartala when asked about his comments on Sarkar during an election rally.  The BJP leader had kicked up a row by reportedly saying that the Tripura chief minister would be sent to Bangladesh after the assembly elections in the state. Sarma reportedly made the remark at an election rally in Dhanpur, Sarkar’s constituency, while criticising the state government over the alleged deteriorating law and order situation and cross-border crimes. The 69-year-old chief minister has governed Tripura since 1998. He is a politburo member of CPI-M and has been ruling the state for the fourth consecutive time. Elections in 59 seats, out of the 60-member Tripura assembly, were held on February 18. Election in one seat was countermanded due to the death of the CPI-M candidate. The BJP and its ally Indigenous People’s Front of Tripura (IPFT) were leading in 41 out of the 59 constituencies whose trends were available, according to Election Commission sources in Agartala on Saturday."
,,
KCR’s Modi remark slip of tongue: K T Rama Rao,deccan," Saturday, Mar 03, 2018 | Last Update : 11:18 PM IST IT minister K.T. Rama Rao had to cobble together an excuse for his father and Chief Minister K. Chandrasekhar Rao’s implied criticism of Prime Minister Narendra Modi, which has created a storm in a teacup in BJP ranks.  He told a highly indignant defence minister Nirmala Sitharaman on Thursday that it was a ‘slip of the tongue’ by the CM who should not have put it quite like that. During a meeting in Karimnagar on February 26, the Chief Minister had not minced his words when criticising Mr Modi and referred to him as “that Prime Minister Modi gaadu” (fellow). State BJP leaders took umbrage at this and complained to Governor E.S.L. Narasimhan that such a term was “unsavoury” and “unparliamentary.” They even sent reports to central BJP leaders, including the Prime Minister himself, with a translation of the CM’s comments. The defence minister, who was in the city on Thursday evening, told the press that she had almost decided not to come when she came to know “about the comments made by one constitutional authority like Chief Minister against another constitutional authority like Prime Minister.”  Ms Sitharaman said that despite having ideological differences, one should not address the Prime Minister in such a manner. She said even if it is a slip of the tongue, the Chief Minister should have given an explanation. “I was invited to Hyderabad to attend a defence-related programme on Thursday. On Wednesday, I called IT minister K.T. Rama Rao who was in Nalgonda on tour and raised objection over the comments. I told him I am unable to understand whether I should come or not. It wouldn’t look good if I participate in the programme after the Prime Minister was belittled by the CM. “I came today and attended the function along with the minister and again I spoke to him about this. Then K.T. Rama Rao garu told me ‘it was just a slip of the tongue, my father will not speak in that way’. I participated because Make in India from Telangana will have a huge impact on the aerospace industry.” “We can give responses to ideological criticism if they have been said in appropriate manner,” she said.  “It is sad that a CM spoke like this. We felt very sad and even the co-untry should feel sad,” Ms Sitharaman said."
,,
N Chandrababu Naidu joins parties in call for no-trust move against Modi,deccan," Saturday, Mar 03, 2018 | Last Update : 11:18 PM IST Both the ruling and Opposition parties in Andhra Pradesh are talking about moving a no-confidence motion against the Narendra Modi Government to protest the raw deal Andhra Pradesh got in the Union Budget. The idea of the no-trust motion was first mooted by Jana Sena chief Pawan Kalyan who has no MPs. He said the TD and YSR Congress should both move the motion so that the Modi government will talk terms with Andhra Pradesh’s MPs.  The idea was picked up by Leader of the Opposition Y.S. Jagan Mohan Reddy who said that his party MPs will move a no-confidence motion and it is for Pawan Kalyan to enlist support for the motion including from the ruling TDP. Given the one-upmanship presently being displayed by the rival TDP and YSRCP, it is doubtful that they can unite in moving the no-trust motion in Parliament. On Monday, TD Chief and AP Chief Minister N. Chandrababu Naidu did mention the No Confidence Motion on two occasions. He first said that it would be of no use and later corrected his statement and said a no-trust move should be the last opportunity after exploring all other options. The fact of the matter is that unless the TD breaks  its alliance with the BJP-led NDA government at the centre first, it cannot move a no-trust motion. However, Pawan Kalyan on Monday evening again said it is his responsibility to muster support for the move and he will go to Delhi and talk to all other opposition parties in the Lok Sabha to garner support."
,,
"BJP demolishes Left Front in Tripura, Biplab Deb likely to be new CM",deccan," Saturday, Mar 03, 2018 | Last Update : 11:18 PM IST The Left Front’s 25-year-old rule in Tripura came to an end on Saturday with BJP and its alliance partner Indigenous People’s Front of Tripura (IPFT) sweeping the assembly polls by winning 43 seats and leaving CPI(M) at distant second with 16 seats only. It was a huge turnaround for BJP, which had no MLAs in the 60-member House and had got only around 1.7 per cent votes in the assembly elections in 2013.  The Congress, which over the years had played the second fiddle in the state and has been in power twice, has failed to open its account and its candidates forfeiting their security deposits on majority of the seats. Crediting the favourable results to the hard work of party workers of Tripura in the last three years, Assam education minister Himanta Biswa Sarma, who was one of the key architects of BJP’s victory in Northeastern states, said that merger of Trinamool Congress' Tripura unit with the BJP was the most significant factor which consolidated the opposition and anti-CPM votes across the state. Though, BJP had not declared any chief ministerial candidate, it is believed that Tripura BJP president Biplab Deb would succeed chief minister Manik Sarkar. Deb, a gym instructor-turned-politician, thanked the people of Tripura for their overwhelming support and credited Prime Minister Narendra Modi and BJP chief Amit Shah with the party's showing. ""I am ready to take the responsibility. I will not run away from taking any responsibility,"" he told reporters when asked if he would accept the task of chief ministership. However, the BJP leader reiterated that the BJP Parliamentary Board, which would meet in New Delhi in the evening, would take a final decision on the next chief minister of Tripura. ""I have already been given a bigger responsibility, the party’s state presidentship, which I have been fulfilling to the best of my ability,"" Deb said. Deb said the people of Tripura favourably responded to the BJP's call to root out the CPI(M) government, which has been ruling the  state for more than two decades. ""People responded favourably to our call call 'Chalo Paltai' (Let's Change),"" he said. Deb said that the next government's priority would be all-round development of Tripura and people voted for the BJP as there had been total backwardness in the state under the Manik Sarkar government. ""The word development does not exist in the dictionary of the CPI(M). Our government will provide good governance and time-bound implementation of all developmental works,"" Deb said. The BJP general secretary Ram Madhav said, “Our Parliamentary Board will meet in New Delhi and take a call on issue of selecting the chief minister.” It is significant that BJP contested Tripura elections on local issues and ignored its “Hindutava” plank in the campaign. This was more visible when party brought Maharaja Colonel Bir Bikram Kishore Manikya Debbarman Bahadur of the Manikya dynasty into focus. The last reigning monarch of the princely state before it merged with the Indian Republic in 1949, Bir Bikram is credited with planning the kingdom’s capital of Agartala, initiating land reforms, reserving vast tracts of land for Tripura’s tribal population, building Agartala’s first airport and setting up one of the country’s first municipalities and university. The BJP in-charge of Tripura Sunil Deodhar who played the key role in victory of the party, said, “Maharaja Bir Bikram was a vikas purush, an extraordinary man. He did so much for Tripura but has never received that kind of attention. We are trying to get him the Bharat Ratna. We are also trying to ensure that the Agartala airport is named after him.’’ The BJP strategists laid focus on non-development of the frontier state where unemployment and non-compliance of pay commission’s recommendation for state government employees became a major issue. In fact of the three states, Tripura was also the most keenly watched for being the last Left bastion in the country. The 69-year-old outgoing chief minister Manik Sarkar, has governed Tripura since 1998. A politburo member of CPI(M), he had been at the helm for the fourth consecutive time. Besides tapping into the youth, the BJP made aggressive best efforts to break the CPI(M)’s stranglehold in 20 seats reserved for tribals, which possibly turned the ride in its favour. The BJP led alliance has succeeded in winning all the 20 tribal reserved seats. The IPFT general secretary Mewat Jamatia has won from the Asharambari seat with a massive margin of 7,000 votes. It is significant that BJP had contested 50 seats in the last assembly polls in 2013 and its candidates forfeited their deposits on 49 seats. However, with just 1.87 per cent of votes, it failed to win any seat in the state. The CPI(M) had won 49 of the 55 seats it contested while the Congress managed to win 10 out of 48 seats it contested. Though, CPM was voted out of power, it succeeded in retaining 43 per cent vote share whereas BJP made significant jump in vote bank by securing 42.8 per cent votes from its dismal performance of 2013 in which it has got 1.5 per cent of votes. The BJP got the lead with vote share of its alliance partner IPFT, which polled 7.7 per cent votes The Left, after voted out of power in a statement, “The BJP has, apart from other factors, utilised massive deployment of money and other resources to influence the elections. The BJP was able to consolidate all the anti-Left votes, virtually appropriating the erstwhile main opposition party, the Congress.” The party’s polit bureau also thanked the 45 per cent people that supported the Left Front, and said it would take remedial measures after carefully examining the reasons for its loss."
