title,type,text
,,
"Rahul Gandhi: Rahul targets PM Modi over alleged data-sharing by NaMo app, BJP hits back | India News - Times of India
			",timesofindia," Congress President Rahul Gandhi on Sunday alleged that Prime Minister Narendra Modi was supplying to American companies data on Indians who had signed up for his NAMO app�, continuing his attack on the saffron camp since the Centre accused him of engaging controversial data analytics firm Cambridge Analytica a charge categorically denied by the opposition party. NEW DELHI: President on Sunday alleged that Prime Minister was supplying to American companies data on Indians who had signed up for his NAMO app�, continuing his attack on the saffron camp since the Centre accused him of engaging controversial data analytics firm Cambridge Analytica a charge categorically denied by the opposition party.  Setting off another round of political sparring, Rahul Gandhi tweeted, Hi! My name is Narendra Modi. I am Indias PM. When you sign up for my official app, I give all your data to my friends in American companies.     The tweet tagged a web report which stated that a French cyber expert has claimed that personal data of subscribers to Namo apa was automatically sent to a third-party domain without consent. Rahul has been tweeting incessantly since law minister Ravi Shankar Prasad alleged at a press conference that Congress had engaged controversial data mining firm CA. Prasad cited media reports to ask Congress if it would manipulate data to win the 2019 polls. The CA is at the centre of a storm for illegally harvesting Facebook data.  While Congress roundly dismissed the allegations and asserted it had never hired the services of CA, Rahul called Prasad’s allegations as a ploy to divert popular attention from death of 39 Indians in Iraq which triggered off biting criticism of the government.  The row took a new turn when the India partner of CA alleged that the company may have tried to “infiltrate and sabotage” Congress in 2012. Rahul alleged the Congress-CA links were “manufactured” by BJP to bury the revelation. An angry AICC chief accused minister Prasad of lying for PM Modi as Goebbels did for Hitler.    In a series of tweets, BJP countered Rahul Gandhi’s twitter jibe at , saying it shows that the Congress President and his party colleagues have “zero knowledge” of technology and even accused the opposition party of taking help of data-mining firm Cambridge Analytica for electoral contests.     Party said that Gandhi is no match for Narendra Modi and his fright about the NaMo app is very amusing. “When his bots tried to trend #DeleteNamoApp day before yesterday (Friday), the popularity and downloads of NaMo app only increased. Today, it will be no different!”  “All they can do is scare the masses about technology while they continue to steal data using his ‘Brahmastra’ of Cambridge Analytica,” the party said, reiterating its allegations that Congress used stolen data from Facebook during the recent polls.  Responding to the charges that NaMo app was sharing users’ data, the party said contrary to Gandhi’s lies, data are being used for only analytics, using third party service, similar to Google Analytics. “Analytics on the user data is done for offering users the most contextual content,” it said.     BJP clarified that this ensures that a user gets the best experience by showing content in his language and interests. “A person who looks up agri-related info will get agri-related content easily. A person from TN will get updates in Tamil and get an update about an important initiative about TN.”  BJP also highlighted Rahul’s candid admission during an interaction in Karnataka that he was unaware of NCC. “Rahul Gandhi is in sublime form these days. After MRI & NCC, today he exposes his great knowledge about technology. He is so rattled by the Cambridge Analyitca expose that he daily tries to divert attention from it, yesterday (Saturday) it was the judiciary and today (Sunday) it is Namo App,” BJP said. BJP said Rahul should download the NaMo App to keep himself abreast with the good things happening in India.     Be the first one to review. We have sent you a verification email. To verify, just follow the link in the message LATEST VIDEOS"
,,
"Rahul technologically illiterate, says BJP; Congress calls the govt ‘data leak sarkar’ | India News - Times of India
			",timesofindia," NEW DELHI: As the Congress party today accused the BJP of stealing people's private information, the latter responded by calling the Congress president Rahul Gandhi ""technologically illiterate"".  BJP was reacting to Congress president's charges accusing the Modi government of stealing users' data shared on the , 'NaMo'.  ""Rahul's allegations are a classic case of technological illiteracy. He does not know that data analysis is not equivalent to spying. This new age is the age of information which Rahul ji will not understand,"" BJP spokesperson said in a press conference.    Prior to Patra's allegations, Congress leader in a press conference had called the Narendra Modi government ""data leak sarkar"" and accused it of ""leaking"" people's data by asking them to submit their personal information on the ‘NaMo’ app.    ""Modi government is attacking the privacy of its citizens. Abki baar data leak sarkar,"" Singhvi said.  Referring to the recent scam by jeweller Nirav Modi and Mehul Choski, Singhvi slammed the government saying that not only is the people's money in banks, but their identities too are unsafe.  Singhvi also accused the Prime Minister of ""snooping on minors"" by asking them to download the NaMo app in his book ""The Exam Warriors"".  ""Mr Modi urged children to download NaMo App in his book Exam Warriors, Does he now want to snoop in on minors?"" Asked Singhvi.  Responding to the allegations that the Congress party's 'With INC' app was also sharing the users' data with a firm in Singapore, the Congress leader said that unlike BJP, the supporters of his party use offline means to connect with the party.  ""The 'With INC' App had 15000 downloads, our people preferred offline memberships. With INC App meant for people only interested to be our members, while Modi’s NaMo App has 50 Lakh+ downloads by ordinary common people. We are not a missed call party like the BJP,"" Singhvi added.  An hour later, Patra, in a press conference, said that the users' data shared by the NaMo app was as per the requirements of a ""smart app"".  ""Analysis is not equal to snooping or survellience. This is a provision of a smart app. NaMo app is no different from any smart app. Like all the smart app, it too, requires the users to grant access to their personal data to help enhance the user experience,"" Patra said.  Both the parties have been trading allegations over the use of user's data shared on the mobile apps of their respective parties.  On Saturday, the Congress targeted the NaMo app for alleged data sharing with a US-based firm. Earlier today, the BJP hit back at the Congress's allegation accusing the latter of doing the same with its app, 'With INC'.    Be the first one to review. We have sent you a verification email. To verify, just follow the link in the message LATEST VIDEOS"
,,
"samajwadi party: Mayawati: BSP's ties with Samajwadi Party not for any selfish motive | India News - Times of India
			",timesofindia," ""The BSP's close ties with the Samajwadi Party are not for any selfish motive but in the national interest,"" Mayawati said, emphasising that the opposition parties will have to work jointly to stop the BJP from coming to power at the Centre. LUCKNOW: Accusing the of seeking to drive a wedge into the new-found bonhomie between her party with the , Bahujan Samaj Party chief on Monday said the two parties' ""friendship"" has been forged in national interest and not to meet any selfish end. ""The 's close ties with the Samajwadi Party are not for any selfish motive but in the national interest,"" she said, emphasising that the opposition parties will have to work jointly to stop the BJP from coming to power at the Centre.  She said the non-BJP parties should come together to address the problems suffered by the common people, including the poor and the youth because of the ""wrong policies of the BJP-led central and state governments.""  Mayawati said the BSP-SP friendship is also being welcomed all over the country.  ""The BSP and the SP workers will not fall prey to the BJP's designs in the interest of the nation and the people as we, along with all opposition parties, will have to definitely stop them from coming to power at the Centre this time.  ""Since the BJP is now finding this (tie-up) taking shape, their leaders are issuing unfounded statements against the BSP-SP relationship,"" she said, days after the ""understanding"" between the two arch rivals came in for sharp criticism from the saffron party, which lost key Lok Sabha bypolls in Gorakhpur and Phulpur to the SP.  The BSP supremo also referred to Prime Minister Narendra Modi's remarks on dalit icon and chairman of the Constitution-drafting committee, Dr in his 'man ki baat' programme yesterday and termed it as an ""eyewash.""  ""In the past four years of their governance, they have been continuously indulging in theatrics on issues related to dalits and backwards and any more drama on the issue will not get them any political mileage,"" she said.  ""The country based on the principle of equality of Dr Bhimrao Ambedkar can never be a reality under the government led by the BJP and the RSS as their mindset is narrow, communal and casteist which is against the very spirit of the Constitution,"" she said.  ""Because of such a mentality, people had kept it out of power for so long and now under the BJP government, dalits and backwards are lagging behind,"" she said, adding that the benefits of the Mandal Commission recommendations have been made ineffective by the government just like the reservation for dalits.     Be the first one to review. We have sent you a verification email. To verify, just follow the link in the message LATEST VIDEOS"
,,
"Puducherry: Nominated BJP MLAs claim they were denied entry into assembly, stage protest - Times of India",timesofindia," The three BJP MLAs, whose nomination to the Puducherry assembly by the Centre was upheld by the Madras high court recently, claimed they were denied entry into the House by the police on the opening day of a brief session here on Monday. PUDUCHERRY: The three BJP MLAs, whose nomination to the by the Centre was upheld by the Madras high court recently, claimed they were denied entry into the House by the police on the opening day of a brief session here on Monday. The nominated BJP members V Saminathan, KG Shankar and S Selvaganapthy said they were prevented by the police, who were posted both inside and outside the assembly premises, from entering the House.  Lt Governor delivered the customary address in the assembly.  The three MLAs, later along with their supporters squatted on the road outside the campus and raised slogans against the police.  While squatting, one of the agitating members, Shankar, was suddenly taken ill and had to be rushed to the government general hospital located near the assembly.  The trio's nomination had earlier been rejected by Speaker V Vaithilingam.  The speaker, through a communication to the members yesterday, had said that he was not heard by the Madras high court on the issue of their nomination by the Centre and, accordingly, he stuck to his November 12 order last year, rejecting their nomination.  The speaker had taken the stand that the ""natural justice was not observed"" in adjudication of the issue of their nomination.  Chief Minister , meanwhile today, tabled a resolution in the House saying that the government would soon file an appeal in the Supreme Court, challenging the high court order.  The resolution was adopted unanimously by the House at the end of a detailed discussion.  The members who participated in the debate said there should be protection of the rights and privileges of the elected government here.  Another unanimous resolution urged the Centre to constitute the Cauvery Management Board (CMB) and the Monitoring Commission in keeping with the directives of the Supreme Court on sharing of the river water.  The Karaikal region of Puducherry is entitled to seven tmc feet of water from the river system.  Tabling the resolution, the chief minister said the centre should set up the board as per the court order. No other body would be acceptable to ensure the availability of river water for the delta farmers, he added.  He said his government is duty-bound to take care of the interest of the Karaikal farmers.  He termed as 'untrue and unacceptable' the opposition AIADMK leader A Anbalagan's charges that the government was not insisting upon the Centre to form the CMB only because there was a Congress government in Karnataka.   ""We will give no room for political passions and would insist upon our rights,"" Narayanasamy said.    Be the first one to review. We have sent you a verification email. To verify, just follow the link in the message LATEST VIDEOS"
,,
"Textised! : Which government is better congress or BJP? - Quora,

",textise_quora,"The two main political parties in India, Congress and BJP, both have their strengths, weaknesses and contributions to the country. Following is a side by side comparison of their governments along relevant parameters - Data Source:  2. Basic Amenities: 3. Infrastructure Development: 4. Minorities - Reservation vs Education: Source:  5. Politics of Cow: Data Source:  6. Quality of leaders: Few other suggested write-ups on similar topics - Some Good, Bad and Ugly aspects of Modi government -  How media is controlled to manipulate public opinion-  How conspiracies are created for political advantage -  Footnotes            Related Questions        Author has answers and answer views   Originally Answered:  Two years of Modi government: a review On May 26, two years back, and his Cabinet. The lavish ceremony was attended by Premiers of SAARC nations, several Chief Ministers, Opposition leaders, besides a host of celebrities, corporate honchos and religious heads. For the first time in 30 years, the BJP came to power with an absolute majority and the swearing-in ceremony gave a hint that Team Modi was ready with a game-changing plan for the country. Two years into governance, we look back at the Centre's performance. Hits Yemen evacuation This was one of the during the times of war, since the Gulf War I. MoS Gen. (Retd) V.K. Singh personally oversaw the operation. The External Affairs Minister headed by Sushma Swarajearned laurels for helping the Indians living abroad, be it for from war-torn Libya or from Pakistan. Jan Dhan Yojana Anyone can now open an account in a bank, thanks to this financial inclusion scheme. Barely a fortnight after the launch, the yojana for the maximum number of accounts opened in a week. The scheme is a big boost in moving towards direct subsidy transfer. LPG subsidy reforms Initially started as a ‘Give It Up’ campaign, the Petroleum and Natural Gas Ministry headed by Dharmendra Pradhan to customers who earn more than Rs. 10 lakh per annum. The amount saved was used to give over five lakh new LPG connections to those who still use firewoods or kerosene stoves for cooking. Swachh Bharat Mission A pet project of Mr. Modi, sanitation ministry's Swachh Bharat mission got wide public support, especially on social media after celebrities joined the Clean India challenge. Not just stopping with cleaning the locality, the such as building more toilets, waste management and waste segregation. Real success, will however happen, when manual scavenging is completely eradicated. India-Bangladesh land boundary agreement When India is facing boundary disputes with every neighbour, this gives optimism that issues can be amicably solved over diplomacy. The people living in the enclaves that were recently annexed to India even exercised their franchise in the recently concluded West Bengal Assembly elections. Bankruptcy code At a time when bankers were grappling with huge rise in non-performing assets and government eyeing to create more entrepreneurs, was necessary. With the support from Congress, the law was passed in Rajya Sabha during the Budget Session where the ruling party was short of numbers. Real Estate regulation Apart from making the process transparent and keeping checks and balances in the form of a Real Estate Regulatory Authority, drafted by Housing Ministry headed by M. Venkaiah Naidu gave confidence to home-buyers. When housing sector contributes to nine per cent of GDP, this law, if effectively implemented by the States, is a game-changer in the housing sector. Yoga Day India’s lobbying got success when the United Nations declared June 21 as . The mass yoga performance at Rajpath, which was led by Mr. Modi himself, set the record of most number of people participating in such an event. Mann Ki Baat A first such initiative in India where a top leader addresses millions, that too periodically. The programme even during his visit to India. Digital India This flagship programme of Ravi Shankar Prasad's Communications Ministry aiming to create a knowledge economy and good governance is travelling in the right path. Every minister and every ministry is now on Twitter. A slew of e-governance measures like digital locker and feedbacks through are some notable initiatives . Misses Pathankot attack The attack at IAF air base, just few hours from the National Capital, is the first of its kind after the 26/11 Mumbai attacks. There were differences of opinion over the way in which the encounter was handled, Home Minister Rajnath Singh at the time of attacks and to make things worse, there was confusion over the number if terrorists sneaked in to carry out the attack. The attack raised questions on the security-level at India’s military bases. Masood Azhar India’s efforts to add the name of Masood Azhar, the chief of JeM, in the UN list of proscribed terrorists to it. This is a major setback to India as Azhar is believed to be behind the Pathankot attack. India-Pak relations Much to the hype of Pakistan Prime Minister Nawaz Sharif attending the swearing-in ceremony or the saree diplomacy, both governments nor has the firing across the Line of Control came down. Mr. Modi’s surprise stop-over at Lahore too failed to cut the ice. India-Nepal relations Anti-India protests flared up in Nepal after trade movements through the border were not allowed for many days. Nepal called it as it followed protests by Madhesis. All of these happened within a year of the Himalayan quake, when Nepal thanked India’s help in rescue and rehabilitation. Also, India couldn’t keep away Nepal from moving closer to China. Dissidence in Central Universities Smriti Irani and the Union Ministry of Human Resource and Development was in news for all wrong reasons. The at Hyderabad Central University, sedition charges against students of Jawaharlal Nehru University, the FTII students’ strike, decision of of Aligarh Muslim University, closing down Ambedkar-Periyar Study circle in IIT-Madras, the list goes on. And some avoidable controversies such as or being taught at CBSE schools. Blackmoney Bringing back money stashed in off-shore accounts was one of BJP’s poll promises. The government gave a three-month window for compliance, but only 644 declarations were made. Finance Minister Arun Jaitley once the bulk of blackmoney is within India, but little has been done to contain the feeders of parallel economy – higher education, real estate and mining. GST Bill/Land ordinance The government is unable to pass the in Rajya Sabha for the past two years. Touted as the biggest tax reform in Independent India, the government is unable to bring consensus. Same is the fate of . Though the Centre took the ordinance route to clear the bill, it was re-promulgated twice and lapsed on August 31, 2015. Uttarakhand fiasco The pre-mature imposition of President’s Rule in Uttarakhand, and victory of Harish Rawat in the Supreme Court-monitored floor test, is not only an to the ruling government but also to the BJP, whose attempt to gain from dissidence in Uttarakhand Congress misfired. Silence on fringe right-wing groups Law and order could be a State subject. Murders of rationalists and attacks on minority community by fringe right-wing elements may not be limited to the BJP-ruled states. But the Centre as well as the Prime Minister’s refrains from condemning or making comments against such attacks didn’t go well with the public. Women’s Bill The seeking one-third representation for women in Parliament and State Assemblies is an almost-forgotten topic now. Cleared in Rajya Sabha in 2010, the Bill is pending in the lower House, in which the BJP front enjoys comfortable majority. Wait and watch Smart City plans It is impossible to create a city, that too a ‘smart’ one in two years. But the BJP government has kickstarted the process by short listing 20 cities in the first phase. Mr. Jaitley’s for the development of 100 smart cities. Make In India Another pet project of Mr. Modi to make India the manufacturing hub, the government is taking efforts by easing foreign investment norms, revamping labour laws and cutting down the red tape. India has conducted road shows abroad and Mr. Modi has to gather support. Many multi-nationals have pledged their support. EPFO reforms The government introduced (UAN) to all EPF holders to make transfer of PF accounts easy when switching jobs. The good name earned from the working class soon vanished when the Finance Minister proposed tax at premature withdrawal of provident fund. It was roll backed after protest by garment workers crippled Bengaluru. OROP The One Rank One Pension scheme, a long-pending demand of ex-servicemen was by the government, but with caveats. Premature retirees have been excluded and the pension review will be carried out every year. Though all demands of veterans have not been met, the government will be remembered for bringing a 40-year-long struggle to an end. Planning Commission to NITI Aayog Doing away with the more than six-decade practice of Planning Commission, the government came up with a think-tank approach to economic strategy. The acronym (National Institution for Transforming India) itself invited criticism of government pushing pro-Hindi agenda and opposition ridiculing it as aniti and durniti. For a nation so used to Planning Commission allocating funds every year, time will tell the effect of this new approach. UDAY The Power Ministry headed by Piyush Goyal plans to aid discoms and State governments to to improve the health of power distribution sector. Eighteen states have agreed to take part in the scheme. The plan also aiming to curb power theft and pilfirage, appears good on paper. What needs to be seen is how it is implemented. Aadhaar The government saved Aadhaar from turning to a white elephant by . However, questions remain on why was it made a money bill, would the constitution be amended to give more teeth to Aadhaar, or would the UIDAI compromise on privacy. The Centre’s Digital India and host of welfare measures rely on Aadhaar. Will Aadhaar be just another card or will it truly make a change should be watched. Ganga rejunuvation The Modi government created a separate ministry headed by Uma Bharti to clean the river and protect it’s ecosystem. The Namami Gange project with a budget of Rs. 20,000 crores over a period of five years has been cleared. Ms. Bharti Ganga will be cleaned by 2018. The deadline appears tight but nonetheless, the clamour for a cleaner river has gained momentum. Bullet train Imagine travelling to Mumbai from Ahmedabad within two hours? That’s what a bullet train would do if the is implemented. China has expressed interest in developing the Chennai-Delhi bullet train corridor. But a single bullet train corridor requiring about Rs. 98,000 crores questions the viability of the project. Welfare Schemes A slew of insurance schemes namely crop insurance for farmers, Atal Pension Yojana for the unorganised sector, affordable health insurance coverage, and the Jan Aushadhi Yojana for retail sales of generic drugs were introduced in the last two years.. In addition, the government has re-launched Kisan Vikas Patra and introduced a PPF-equivalent for girl child, the Sukanya Samriddhi Scheme. Again, in country known from socialist welfare schemes, the onus of welfare shifting from government to individual is an ideological change and may take time for acceptance.               Politicians and Diapers must be changed often and for the same reason - Mark Twain This saying of Mark Twain is full of arrogance but if we go beyond it we can see that they are sensible and practical words. Congress came to power in 2004 and brought phenomenal growth which is more than what BJP(NDA) has managed till yet, Under the NDA GDP growth was good in 2003 as well. you can see that except year 2007(onset of the Global financial crisis) we were skyrocketing to greatness. Then came the SCAMS but one important observation to made here is this Although the 2g and other scams broke out people voted again for the UPA. why ? because they were delivering in governance but growth slowed down as all the countries we were trading with got screwed because of the financial crisis and our software sector had no clients to make software for and growth became dismal and the scams weren’t tolerable anymore. Like Twain said the congress had become sh*tty. A young and ambitious country felt that this sluggishness is not for them. a vibrant, positive, and supersonic economy is what was demanded. ENTER NARENDRA DAMODARDAS MODI Two years after BJP reign they have taken a no nonsense approach. All these initiatives are the right direction but by now you’d forgot mark twain’s quote. The BJP will also become sh*tty over time and we will need to change them at which point we ll need a NaMo like man to take us forward. Are they even different ?? The two parties have identical economic ideologies. Both are Neo-Liberal and market friendly and pro-capitalist in the 21st century. Their ideologies differ Socially INC is secular, BJP is Hindu nationalist. but this doesn’t matter actually because our society is greatly influenced by people and not by political parties. So I conclude that Both parties do good work for the progress of the nation and lose track along the way and this is only human. So we need to keep them in check without any bias towards any party. (p.s. my opinion is null and void if Rahul Gandhi is the PM candidate for 2019 in which case please don’t vote congress.)             Author has answers and answer views   Originally Answered:  The major difference between BJP and INC government is that it has been 3 ½ years that Narendra Modi and BJP have been ruling the India and even till now we are still discussing the scams of INC (2004-2014) scams only. Till date not even 1 scam has projected against BJP or its leaders.             Author has answers and answer views   In democracy all political party has drawbacks. Because parties are made of People and all people are not same. People are not perfect so aren’t the parties. But some are better than other. But with time and leadership it changes. Once people thought Congress was better, so they ruled over 60 years. Now people thinks BJP is better, so BJP is ruling. So, is BJP is better than Congress ? I won’t put it in that way. I would say BJP’s functioning is better than Congress right now. BJP has a better leader than Congress. BJP’s inner architecture is more democratic than Congress. Right now congress has more flaws than BJP. But it does not mean BJP doesn’t have any flaws. But if I put it straight: In current situation INDIA needs BJP more than Congress. Reason: For me I like BJP, because it has guts to take any decisions. And I personally think “able to take any decision is the best quality any person can have”. As decision’s result could be good or bad. You are free to have different opinion. Thank you! Jay hind!             Author has answers and answer views   Originally Answered:  Comparison of Congress and BJP Governments.             Author has answers and answer views   Originally Answered:  Interesting question, thanks for A2A. I believe if Congress sheds dynastic politics and start representing majority, it will prove to be much better party than BJP. Reason is simple , India was built by Congress , in 1980s it was competing with China, the quality of talent and politicians produced by congress party still form backbone of this country. All institutions are built by congress, congress made sure deprived had a voice in traditionally feudalistic society which has made this countrys foundation strong, although rich don't like it. However after Rajiv Gandhi, Congress kept slipping from its core principles and post liberalisation it became too corrupt, Narsimha Rao did hold it together but still it wasn't the same national force as it was once. This along with BJPs pro hindu stance paved way for regional parties as well as BJP to fill leadership void. Idealogically BJP has conservative roots and will not appeal to a significant diversity of the country. They will have to prove themselves. During 4 years of Atal Biharis government it was still a moderate BJP. However now it's becoming aggressive, absolute in power and execution which might spoil the diversity or community relations in the country. While that is definitely advantageous but it's a known fact in history that absolute power corrupts. So, I will not be surprised if BJP promises are not met until 2019 or 2024. This will call for dissent and so it's possible BJP will try to block dissenters early on. We can already see that with many examples- bashing of news reporters, resignation of IAS officers, governess, EVM hacks, paid media, industry government nexus, demonetization, aadhar linking to taxes & mandatory. Independence of judiciary & judge appointments. Sidelining of old BJP members.All roads to gaining power are being checked and monitored thoroughly These are not good signs unless there is a positive strategy behind it. I have my doubts though. So they will still manage their vote bank and power with majoritarian controls. That only works for so long as party is able to hold all stakeholders together which is very difficult in India. Only Indira Gandhi was able to do it in tough times and times will get tougher going forward. Overall BJP has the required strength and power to govern but has no talent or experience to strike the right balance. If governance is what they intend to do. Congress has all the talent & experience but no leadership or power anymore…. Also with scams and corruption they have lost credibility. In current situation BJP deserves a chance as they are the only ones capable of bringing much desired progress or good governance to this country.              Author has answers and answer views   Originally Answered:  Q : Which government is better, Congress or BJP? A : Subjective - good for whom and bad for whom? Keeping aside the ‘chunavi jumme’ and pre-election slogans also, I would say that BJP government is much better. Unfortunately the word Achhe Din has been misunderstood as ‘Saste Din’ or ‘Muft Din’ where all the farmers will get excellent price for the product, the mercantile agents get excellent commission and the buyer also the product very cheap. Moreover, all the loans get a waiver. Is is ever possible? Indians are not ready to tolerate ‘short term pain for long term gain’ and want every thing within the very first term of Modi. Is it possible in a country like India? I do understand and appreciate that many non-issues are deliberately being made issues during BJP regime - Yoga, Sanskrit language, Geeta etc. And that is the reasons why such issues come up. Disclosure - I am not a Modi Bhakt, but just a student of Politics and Economics.      View More Related Questions Still have a question? Ask your own! Related Questions                               This text-only page was created by Textise ( ). Copyright Subjunctive Software. Find us on and or visit the ."
